23,123
1116,117
60,18
954,323
1235,226
1123,599
862,231
808,11
982,687
574,248
1041,449
584,105
408,575
594,466
1058,677
23,33
127,862
1305,367
87,220
194,855
706,455
550,241
750,493
922,616
88,861
682,822
487,359
1208,555
579,674
1097,266
1042,400
1043,712
567,151
328,694
494,47
1,623
716,779
574,198
599,890
63,532
818,728
1148,239
104,848
1062,47
1185,516
428,849
1134,519
472,866
1146,207
785,541
75,668
636,306
554,512
644,362
795,623
263,810
805,0
223,409
150,129
858,857
356,571
895,488
962,106
761,151
1121,507
903,786
1097,852
295,726
1118,330
1016,115
930,291
808,435
1123,847
957,243
977,371
492,207
654,229
1285,401
560,401
94,65
1110,110
492,840
922,242
798,248
252,257
333,819
410,855
1218,800
157,582
176,519
1001,390
843,599
572,185
875,9
383,697
310,369
731,220
770,600
638,861
284,599
950,779
927,4
949,729
493,712
105,66
989,527
68,65
743,743
862,103
681,744
855,32
216,519
1054,592
551,854
482,651
1009,651
408,319
967,596
276,23
898,819
654,205
88,413
353,722
1263,407
1140,553
1228,864
435,697
763,505
817,182
301,620
67,203
448,663
575,254
736,78
378,103
154,427
858,37
852,628
1228,870
113,714
929,523
68,737
212,250
893,343
438,71
713,439
636,361
624,599
31,714
579,519
346,533
830,429
718,142
817,574
1048,145
430,71
930,689
161,320
689,486
346,197
75,226
1103,376
114,294
26,854
912,302
452,185
870,327
152,429
1128,890
711,645
509,35
170,553
326,687
1004,788
92,773
907,488
94,493
825,683
823,298
296,74
565,343
1225,837
746,763
566,497
719,138
674,140
565,791
1031,25
756,382
572,750
970,312
661,527
478,631
385,445
940,599
343,596
490,217
242,371
266,779
267,485
437,259
984,709
957,401
908,257
1208,339
472,25
1148,207
80,528
602,155
256,766
300,822
266,331
703,745
1196,824
657,271
105,599
612,373
594,690
25,172
750,829
442,376
1153,582
741,389
818,168
120,103
105,295
497,312
395,467
274,801
672,33
497,582
1200,179
378,455
855,862
1197,714
1059,889
698,344
472,28
1016,779
597,147
899,304
395,469
306,340
1310,431
1146,640
1074,315
500,427
108,166
959,175
1240,302
1260,730
1016,180
1221,103
846,70
480,569
161,350
440,567
199,338
1160,71
1098,518
410,487
922,278
80,590
1284,854
518,182
448,215
818,743
370,295
657,719
1020,84
1193,703
604,791
55,249
801,511
1093,784
813,771
1089,887
1052,487
920,736
176,263
1246,525
460,295
226,493
872,715
820,239
761,131
739,182
556,329
1235,648
437,612
815,410
160,847
1292,82
1235,668
1178,599
892,763
343,148
738,127
1061,249
935,645
433,887
1131,746
925,893
873,730
194,151
1136,17
200,784
744,145
607,697
1240,105
686,329
